"party","income","education","age"
"Republican",16,"CCdeg",39
"Democrat",16,"Coll",19
"Democrat",16,"CCdeg",32
"Republican",16,"HS",69
"Republican",16,"HS",83
"Independent",16,"HSdrop",76
"Democrat",16,"HSdrop",62
"Democrat",16,"MAdeg",47
"Democrat",16,"HS",35
"Independent",16,"HS",23
"Democrat",16,"Coll",79
"Republican",16,"CCdeg",64
"Republican",16,"Coll",70
"Republican",16,"CCdeg",87
"Democrat",18.5,"HSdrop",28
"Democrat",18.5,"HS",58
"Democrat",18.5,"HSdrop",85
"Democrat",18.5,"HS",62
"Democrat",18.5,"BAdeg",26
"Republican",18.5,"HS",28
"Republican",18.5,"HSdrop",88
"Democrat",18.5,"BAdeg",57
"Democrat",18.5,"HS",78
"Democrat",18.5,"HS",56
"Independent",18.5,"CCdeg",46
"Republican",18.5,"HS",20
"Democrat",18.5,"Coll",24
"Independent",18.5,"Coll",72
"Democrat",18.5,"Coll",51
"Republican",18.5,"BAdeg",34
"Democrat",18.5,"Coll",21
"Independent",18.5,"MAdeg",74
"Democrat",18.5,"MS",48
"Republican",18.5,"HS",28
"Republican",18.5,"HSdrop",38
"Democrat",18.5,"HS",70
"Democrat",18.5,"HSdrop",72
"Democrat",18.5,"HS",41
"Democrat",18.5,"MAdeg",50
"Republican",18.5,"HS",73
"Democrat",18.5,"BAdeg",79
"Republican",18.5,"HSdrop",76
"Republican",18.5,"CCdeg",62
"Republican",18.5,"BAdeg",30
"Republican",18.5,"Coll",35
"Democrat",18.5,"Coll",66
"Democrat",18.5,"Coll",35
"Republican",18.5,"BAdeg",57
"Republican",18.5,"CCdeg",37
"Democrat",21,"HS",61
"Republican",21,"HS",56
"Democrat",21,"HS",53
"Independent",21,"BAdeg",24
"Republican",21,"HS",74
"Democrat",21,"HS",36
"Republican",21,"CCdeg",30
"Democrat",21,"HSdrop",55
"Independent",21,"BAdeg",35
"Democrat",21,"Coll",26
"Independent",21,"Coll",25
"Independent",21,"HS",27
"Republican",21,"HS",66
"Independent",21,"HSdrop",39
"Independent",21,"CCdeg",58
"Democrat",21,"HS",53
"Democrat",21,"HS",76
"Democrat",21,"HS",51
"Democrat",21,"HSdrop",70
"Republican",21,"Coll",68
"Independent",21,"HS",32
"Republican",21,"HS",55
"Democrat",21,"Coll",52
"Independent",21,"HSdrop",73
"Democrat",21,"HSdrop",42
"Independent",21,"CCdeg",23
"Democrat",23.5,"MAdeg",30
"Democrat",23.5,"Coll",68
"Independent",23.5,"HS",68
"Independent",23.5,"BAdeg",68
"Democrat",23.5,"CCdeg",38
"Independent",23.5,"HS",74
"Democrat",23.5,"HSdrop",59
"Independent",23.5,"HSdrop",73
"Democrat",23.5,"HS",79
"Republican",23.5,"Coll",28
"Republican",23.5,"HS",50
"Democrat",23.5,"Coll",36
"Republican",23.5,"HS",50
"Republican",23.5,"HS",61
"Democrat",23.5,"Coll",37
"Democrat",23.5,"BAdeg",29
"Democrat",23.5,"Coll",39
"Independent",23.5,"BAdeg",83
"Independent",23.5,"BAdeg",68
"Republican",23.5,"Coll",25
"Democrat",23.5,"BAdeg",41
"Democrat",23.5,"HS",67
"Independent",23.5,"BAdeg",36
"Independent",23.5,"Coll",66
"Democrat",23.5,"Coll",55
"Independent",23.5,"CCdeg",42
"Republican",23.5,"HS",42
"Democrat",23.5,"HS",36
"Independent",23.5,"CCdeg",53
"Democrat",23.5,"CCdeg",36
"Independent",23.5,"MAdeg",29
"Democrat",23.5,"HS",31
"Democrat",23.5,"BAdeg",43
"Democrat",23.5,"BAdeg",33
"Democrat",23.5,"HS",63
"Independent",23.5,"CCdeg",25
"Democrat",23.5,"Coll",72
"Democrat",23.5,"Coll",40
"Independent",23.5,"BAdeg",27
"Independent",27.5,"Coll",26
"Republican",27.5,"HS",67
"Democrat",27.5,"HS",21
"Republican",27.5,"MAdeg",27
"Democrat",27.5,"BAdeg",78
"Democrat",27.5,"HS",32
"Democrat",27.5,"Coll",68
"Republican",27.5,"Coll",76
"Democrat",27.5,"CCdeg",33
"Independent",27.5,"HSdrop",38
"Democrat",27.5,"MAdeg",49
"Republican",27.5,"Coll",61
"Independent",27.5,"HS",57
"Independent",27.5,"HS",20
"Independent",27.5,"BAdeg",63
"Independent",27.5,"HS",53
"Republican",27.5,"Coll",35
"Democrat",27.5,"HS",39
"Independent",27.5,"HS",48
"Independent",27.5,"HS",62
"Democrat",27.5,"CCdeg",30
"Republican",27.5,"BAdeg",26
"Republican",27.5,"BAdeg",74
"Independent",27.5,"CCdeg",37
"Democrat",27.5,"CCdeg",43
"Republican",27.5,"HS",68
"Republican",27.5,"CCdeg",73
"Republican",27.5,"MAdeg",60
"Democrat",27.5,"HS",35
"Democrat",27.5,"BAdeg",29
"Democrat",27.5,"BAdeg",25
"Democrat",27.5,"MAdeg",25
"Democrat",27.5,"BAdeg",70
"Republican",27.5,"HS",41
"Democrat",27.5,"BAdeg",37
"Republican",27.5,"CCdeg",39
"Democrat",27.5,"Coll",35
"Democrat",27.5,"MAdeg",62
"Democrat",27.5,"MAdeg",30
"Democrat",27.5,"Coll",74
"Republican",27.5,"HS",47
"Democrat",27.5,"BAdeg",43
"Republican",27.5,"HSdrop",64
"Independent",27.5,"Coll",75
"Democrat",27.5,"BAdeg",27
"Democrat",27.5,"HS",21
"Democrat",27.5,"HSdrop",70
"Republican",27.5,"HS",67
"Republican",27.5,"CCdeg",82
"Democrat",27.5,"BAdeg",40
"Republican",27.5,"Coll",26
"Democrat",27.5,"BAdeg",29
"Independent",27.5,"BAdeg",28
"Republican",27.5,"HS",65
"Democrat",27.5,"HS",25
"Democrat",27.5,"HSdrop",65
"Republican",27.5,"CCdeg",38
"Republican",27.5,"MAdeg",72
"Democrat",27.5,"HS",67
"Democrat",27.5,"HS",74
"Independent",27.5,"BAdeg",71
"Democrat",27.5,"HS",47
"Democrat",27.5,"MS",69
"Democrat",27.5,"BAdeg",29
"Republican",27.5,"HS",34
"Democrat",27.5,"Coll",43
"Democrat",27.5,"HS",30
"Democrat",27.5,"HSdrop",76
"Democrat",32.5,"CCdeg",26
"Independent",32.5,"CCdeg",76
"Democrat",32.5,"MAdeg",42
"Republican",32.5,"HS",33
"Republican",32.5,"HS",25
"Democrat",32.5,"Coll",51
"Independent",32.5,"HS",57
"Republican",32.5,"Coll",21
"Republican",32.5,"MAdeg",79
"Republican",32.5,"CCdeg",35
"Independent",32.5,"BAdeg",57
"Republican",32.5,"BAdeg",32
"Independent",32.5,"BAdeg",51
"Republican",32.5,"MAdeg",62
"Republican",32.5,"Coll",48
"Republican",32.5,"HS",39
"Republican",32.5,"BAdeg",26
"Democrat",32.5,"HS",38
"Democrat",32.5,"Coll",50
"Independent",32.5,"HS",33
"Independent",32.5,"HS",36
"Democrat",32.5,"BAdeg",24
"Democrat",32.5,"CCdeg",25
"Democrat",32.5,"HS",62
"Republican",32.5,"HS",33
"Republican",32.5,"BAdeg",53
"Republican",32.5,"BAdeg",68
"Democrat",32.5,"HS",68
"Republican",32.5,"HS",38
"Democrat",32.5,"MS",58
"Republican",32.5,"BAdeg",34
"Democrat",32.5,"HSdrop",58
"Democrat",32.5,"CCdeg",35
"Republican",32.5,"BAdeg",42
"Democrat",32.5,"HS",54
"Republican",32.5,"HS",69
"Democrat",32.5,"Coll",35
"Republican",32.5,"Coll",66
"Democrat",32.5,"HS",58
"Democrat",32.5,"HS",41
"Independent",32.5,"BAdeg",35
"Democrat",32.5,"MAdeg",40
"Democrat",32.5,"MS",53
"Republican",32.5,"BAdeg",67
"Democrat",32.5,"CCdeg",32
"Democrat",32.5,"Coll",41
"Democrat",32.5,"MAdeg",43
"Democrat",32.5,"HSdrop",65
"Democrat",32.5,"CCdeg",60
"Democrat",32.5,"BAdeg",77
"Democrat",32.5,"Coll",35
"Democrat",32.5,"Coll",48
"Republican",32.5,"HS",52
"Independent",32.5,"MAdeg",43
"Republican",32.5,"CCdeg",43
"Republican",32.5,"Coll",67
"Democrat",32.5,"HS",56
"Democrat",32.5,"Coll",62
"Democrat",32.5,"HS",62
"Democrat",32.5,"BAdeg",22
"Democrat",32.5,"CCdeg",21
"Republican",32.5,"HS",34
"Democrat",32.5,"HS",70
"Independent",32.5,"HS",50
"Republican",32.5,"Coll",42
"Republican",32.5,"HS",73
"Democrat",32.5,"MAdeg",57
"Republican",32.5,"BAdeg",40
"Republican",32.5,"BAdeg",58
"Democrat",32.5,"HS",62
"Democrat",37.5,"HS",44
"Republican",37.5,"BAdeg",30
"Democrat",37.5,"CCdeg",76
"Democrat",37.5,"Coll",50
"Republican",37.5,"Coll",41
"Republican",37.5,"HS",77
"Republican",37.5,"BAdeg",35
"Independent",37.5,"Coll",39
"Independent",37.5,"HS",72
"Republican",37.5,"MAdeg",42
"Republican",37.5,"HSdrop",85
"Independent",37.5,"Coll",79
"Democrat",37.5,"Coll",39
"Republican",37.5,"BAdeg",58
"Republican",37.5,"BAdeg",27
"Democrat",37.5,"CCdeg",43
"Democrat",37.5,"Coll",58
"Independent",37.5,"MAdeg",28
"Republican",37.5,"BAdeg",27
"Independent",37.5,"HS",40
"Democrat",37.5,"BAdeg",43
"Republican",37.5,"HS",64
"Democrat",37.5,"BAdeg",39
"Independent",37.5,"Coll",76
"Democrat",37.5,"CCdeg",64
"Independent",37.5,"Coll",28
"Democrat",37.5,"HS",45
"Republican",37.5,"HS",22
"Democrat",37.5,"BAdeg",27
"Democrat",37.5,"Coll",31
"Democrat",37.5,"BAdeg",34
"Democrat",37.5,"Coll",30
"Republican",37.5,"HS",64
"Independent",37.5,"BAdeg",36
"Independent",37.5,"HSdrop",31
"Republican",37.5,"HS",37
"Democrat",37.5,"HS",48
"Independent",37.5,"HS",41
"Republican",37.5,"Coll",25
"Republican",37.5,"HS",82
"Independent",37.5,"MAdeg",36
"Democrat",37.5,"HS",47
"Democrat",37.5,"Coll",67
"Republican",37.5,"Coll",24
"Republican",37.5,"BAdeg",33
"Democrat",37.5,"Coll",59
"Republican",37.5,"Coll",71
"Republican",37.5,"HS",36
"Democrat",37.5,"HS",41
"Republican",37.5,"BAdeg",38
"Republican",37.5,"HS",32
"Democrat",37.5,"Coll",32
"Democrat",37.5,"BAdeg",75
"Independent",37.5,"HS",52
"Democrat",37.5,"MAdeg",29
"Democrat",37.5,"HS",71
"Independent",37.5,"BAdeg",33
"Independent",37.5,"MAdeg",67
"Republican",37.5,"Coll",49
"Democrat",37.5,"MAdeg",31
"Democrat",37.5,"HSdrop",53
"Democrat",37.5,"MAdeg",35
"Republican",42.5,"MAdeg",49
"Democrat",42.5,"HS",74
"Republican",42.5,"Coll",29
"Democrat",42.5,"BAdeg",27
"Republican",42.5,"Coll",70
"Republican",42.5,"BAdeg",43
"Independent",42.5,"MAdeg",47
"Democrat",42.5,"MAdeg",42
"Republican",42.5,"BAdeg",41
"Republican",42.5,"Coll",37
"Democrat",42.5,"HS",61
"Democrat",42.5,"Coll",84
"Democrat",42.5,"BAdeg",46
"Republican",42.5,"MAdeg",39
"Democrat",42.5,"HS",53
"Republican",42.5,"BAdeg",87
"Democrat",42.5,"HS",51
"Independent",42.5,"CCdeg",37
"Independent",42.5,"BAdeg",37
"Republican",42.5,"BAdeg",40
"Independent",42.5,"BAdeg",46
"Independent",42.5,"HS",44
"Democrat",42.5,"HS",37
"Independent",42.5,"MAdeg",55
"Democrat",42.5,"BAdeg",40
"Democrat",42.5,"MAdeg",42
"Republican",42.5,"HS",40
"Republican",42.5,"HS",32
"Independent",42.5,"MAdeg",58
"Independent",42.5,"HS",37
"Republican",42.5,"HS",51
"Republican",42.5,"CCdeg",44
"Democrat",42.5,"HSdrop",23
"Republican",42.5,"HS",38
"Democrat",42.5,"MAdeg",42
"Independent",42.5,"Coll",60
"Democrat",42.5,"Coll",34
"Republican",42.5,"HS",49
"Independent",42.5,"HS",40
"Democrat",42.5,"Coll",23
"Democrat",42.5,"HS",47
"Democrat",42.5,"CCdeg",44
"Democrat",42.5,"MAdeg",37
"Republican",42.5,"CCdeg",26
"Independent",42.5,"Coll",51
"Democrat",42.5,"HS",69
"Democrat",42.5,"BAdeg",36
"Independent",42.5,"Coll",28
"Republican",47.5,"Coll",40
"Republican",47.5,"Coll",45
"Republican",47.5,"BAdeg",75
"Republican",47.5,"BAdeg",32
"Democrat",47.5,"HS",27
"Independent",47.5,"BAdeg",63
"Republican",47.5,"MAdeg",79
"Democrat",47.5,"BAdeg",40
"Democrat",47.5,"BAdeg",57
"Democrat",47.5,"BAdeg",44
"Republican",47.5,"BAdeg",78
"Republican",47.5,"MAdeg",58
"Democrat",47.5,"HS",55
"Independent",47.5,"BAdeg",25
"Democrat",47.5,"MAdeg",27
"Independent",47.5,"HS",21
"Republican",47.5,"Coll",37
"Republican",47.5,"HS",31
"Democrat",47.5,"MAdeg",85
"Republican",47.5,"HS",33
"Independent",47.5,"HSdrop",63
"Democrat",47.5,"HS",51
"Democrat",47.5,"HS",46
"Republican",47.5,"CCdeg",26
"Democrat",47.5,"BAdeg",57
"Democrat",47.5,"HS",48
"Republican",47.5,"HS",55
"Democrat",47.5,"CCdeg",37
"Republican",47.5,"HS",39
"Democrat",47.5,"HS",24
"Republican",47.5,"BAdeg",30
"Democrat",47.5,"MAdeg",36
"Independent",47.5,"HS",45
"Independent",47.5,"HS",29
"Republican",47.5,"Coll",41
"Independent",47.5,"CCdeg",28
"Democrat",47.5,"Coll",35
"Democrat",47.5,"Coll",46
"Democrat",47.5,"Coll",55
"Republican",47.5,"Coll",65
"Democrat",47.5,"Coll",22
"Democrat",47.5,"Coll",41
"Independent",47.5,"MAdeg",43
"Democrat",47.5,"Coll",49
"Independent",47.5,"MAdeg",35
"Democrat",47.5,"HS",80
"Democrat",47.5,"Coll",57
"Democrat",47.5,"HS",48
"Independent",47.5,"BAdeg",43
"Democrat",47.5,"Coll",34
"Democrat",47.5,"CCdeg",44
"Independent",55,"BAdeg",49
"Independent",55,"MAdeg",43
"Republican",55,"Coll",39
"Democrat",55,"HS",27
"Republican",55,"BAdeg",30
"Independent",55,"BAdeg",33
"Democrat",55,"CCdeg",32
"Republican",55,"BAdeg",31
"Independent",55,"CCdeg",27
"Democrat",55,"Coll",36
"Independent",55,"CCdeg",45
"Independent",55,"HS",51
"Republican",55,"Coll",36
"Independent",55,"MAdeg",47
"Democrat",55,"BAdeg",42
"Republican",55,"BAdeg",70
"Independent",55,"Coll",40
"Democrat",55,"HS",38
"Independent",55,"HS",29
"Republican",55,"HS",58
"Independent",55,"HS",28
"Republican",55,"Coll",30
"Independent",55,"CCdeg",48
"Republican",55,"Coll",35
"Democrat",55,"HS",38
"Independent",55,"MAdeg",56
"Republican",55,"Coll",62
"Republican",55,"Coll",56
"Republican",55,"HS",32
"Democrat",55,"CCdeg",50
"Democrat",55,"BAdeg",45
"Democrat",55,"BAdeg",36
"Republican",55,"Coll",49
"Republican",55,"BAdeg",31
"Independent",55,"MAdeg",33
"Republican",55,"Coll",35
"Independent",55,"Coll",73
"Republican",55,"CCdeg",54
"Democrat",55,"HS",48
"Independent",55,"Coll",65
"Republican",55,"Coll",46
"Democrat",55,"MAdeg",45
"Republican",55,"MAdeg",65
"Republican",55,"BAdeg",45
"Independent",55,"MAdeg",89
"Independent",55,"Coll",32
"Democrat",55,"Coll",38
"Republican",55,"Coll",33
"Republican",55,"MAdeg",49
"Republican",55,"BAdeg",64
"Democrat",55,"Coll",55
"Democrat",55,"MAdeg",56
"Republican",55,"BAdeg",30
"Republican",55,"MAdeg",41
"Republican",55,"CCdeg",39
"Independent",55,"HS",34
"Democrat",55,"HS",53
"Independent",55,"BAdeg",40
"Democrat",55,"BAdeg",48
"Republican",55,"Coll",59
"Independent",55,"Coll",54
"Democrat",55,"BAdeg",41
"Democrat",55,"BAdeg",41
"Independent",55,"MAdeg",63
"Independent",55,"HS",39
"Independent",55,"HS",46
"Democrat",55,"HS",55
"Independent",55,"HS",42
"Independent",55,"HSdrop",58
"Independent",55,"Coll",42
"Independent",55,"BAdeg",40
"Democrat",55,"BAdeg",56
"Independent",55,"Coll",37
"Independent",55,"BAdeg",37
"Republican",55,"BAdeg",49
"Republican",55,"Coll",63
"Republican",55,"MAdeg",30
"Independent",55,"CCdeg",62
"Democrat",55,"BAdeg",30
"Republican",55,"BAdeg",34
"Republican",55,"Coll",41
"Republican",55,"HS",43
"Independent",55,"CCdeg",33
"Republican",55,"MAdeg",67
"Democrat",55,"CCdeg",55
"Democrat",55,"CCdeg",33
"Republican",55,"Coll",61
"Independent",55,"HS",45
"Democrat",55,"HS",34
"Republican",55,"HS",35
"Independent",55,"BAdeg",50
"Democrat",55,"Coll",38
"Republican",55,"HS",56
"Republican",55,"HS",31
"Republican",55,"MAdeg",40
"Democrat",55,"HS",44
"Independent",55,"Coll",39
"Democrat",55,"HS",45
"Democrat",55,"BAdeg",72
"Democrat",55,"MAdeg",44
"Democrat",67.5,"MAdeg",61
"Republican",67.5,"MAdeg",34
"Republican",67.5,"BAdeg",61
"Democrat",67.5,"Coll",67
"Republican",67.5,"BAdeg",38
"Democrat",67.5,"BAdeg",50
"Republican",67.5,"Coll",62
"Republican",67.5,"BAdeg",36
"Independent",67.5,"BAdeg",50
"Democrat",67.5,"BAdeg",30
"Republican",67.5,"CCdeg",59
"Democrat",67.5,"BAdeg",62
"Independent",67.5,"Coll",40
"Republican",67.5,"Coll",30
"Independent",67.5,"HS",47
"Democrat",67.5,"BAdeg",41
"Republican",67.5,"MAdeg",35
"Republican",67.5,"Coll",45
"Independent",67.5,"BAdeg",34
"Independent",67.5,"HS",55
"Independent",67.5,"Coll",37
"Independent",67.5,"MAdeg",61
"Democrat",67.5,"HSdrop",62
"Republican",67.5,"BAdeg",54
"Democrat",67.5,"BAdeg",33
"Democrat",67.5,"BAdeg",50
"Independent",67.5,"HS",37
"Independent",67.5,"HS",44
"Independent",67.5,"HS",78
"Republican",67.5,"HS",56
"Independent",67.5,"BAdeg",29
"Independent",67.5,"BAdeg",52
"Democrat",67.5,"HS",31
"Republican",67.5,"MAdeg",34
"Republican",67.5,"MAdeg",31
"Independent",67.5,"BAdeg",43
"Republican",67.5,"HS",31
"Republican",67.5,"MAdeg",63
"Independent",67.5,"Coll",38
"Republican",67.5,"CCdeg",31
"Democrat",67.5,"HS",64
"Republican",67.5,"MAdeg",55
"Democrat",67.5,"HS",41
"Republican",67.5,"Coll",38
"Republican",67.5,"BAdeg",28
"Republican",67.5,"CCdeg",42
"Democrat",67.5,"Coll",43
"Republican",67.5,"Coll",37
"Independent",67.5,"CCdeg",47
"Republican",67.5,"MAdeg",52
"Republican",67.5,"Coll",32
"Independent",67.5,"HS",29
"Independent",67.5,"HS",56
"Republican",67.5,"MAdeg",63
"Democrat",67.5,"CCdeg",35
"Independent",67.5,"Coll",36
"Democrat",67.5,"CCdeg",75
"Democrat",67.5,"BAdeg",48
"Republican",67.5,"CCdeg",36
"Independent",67.5,"BAdeg",34
"Democrat",67.5,"CCdeg",35
"Republican",67.5,"Coll",50
"Republican",67.5,"MAdeg",39
"Republican",67.5,"MAdeg",70
"Republican",67.5,"HS",76
"Republican",67.5,"BAdeg",35
"Independent",67.5,"MAdeg",53
"Independent",67.5,"BAdeg",46
"Independent",67.5,"Coll",34
"Republican",67.5,"Coll",69
"Democrat",67.5,"HS",32
"Republican",67.5,"HSdrop",50
"Republican",67.5,"BAdeg",35
"Republican",67.5,"CCdeg",67
"Republican",67.5,"HS",47
"Independent",67.5,"BAdeg",50
"Independent",67.5,"HS",32
"Independent",67.5,"CCdeg",58
"Democrat",67.5,"MAdeg",49
"Democrat",67.5,"Coll",43
"Republican",67.5,"BAdeg",24
"Independent",67.5,"MAdeg",58
"Democrat",67.5,"Coll",43
"Republican",67.5,"HS",59
"Republican",67.5,"CCdeg",40
"Democrat",67.5,"Coll",35
"Democrat",67.5,"Coll",48
"Republican",67.5,"HS",40
"Democrat",67.5,"HS",48
"Democrat",67.5,"MAdeg",47
"Democrat",67.5,"HS",23
"Republican",67.5,"HS",38
"Republican",67.5,"MAdeg",81
"Democrat",67.5,"BAdeg",48
"Independent",67.5,"HS",52
"Independent",67.5,"BAdeg",24
"Democrat",67.5,"CCdeg",21
"Republican",67.5,"BAdeg",70
"Republican",67.5,"BAdeg",24
"Democrat",67.5,"MAdeg",57
"Independent",67.5,"BAdeg",37
"Republican",67.5,"CCdeg",25
"Democrat",67.5,"HS",33
"Democrat",82.5,"HS",45
"Republican",82.5,"BAdeg",42
"Independent",82.5,"BAdeg",47
"Republican",82.5,"MAdeg",51
"Republican",82.5,"HSdrop",85
"Independent",82.5,"MAdeg",32
"Independent",82.5,"MAdeg",31
"Independent",82.5,"BAdeg",23
"Democrat",82.5,"BAdeg",42
"Republican",82.5,"BAdeg",55
"Republican",82.5,"BAdeg",45
"Republican",82.5,"MAdeg",35
"Democrat",82.5,"BAdeg",45
"Independent",82.5,"HS",42
"Republican",82.5,"Coll",37
"Republican",82.5,"HS",38
"Democrat",82.5,"MAdeg",47
"Independent",82.5,"BAdeg",32
"Republican",82.5,"BAdeg",35
"Republican",82.5,"Coll",38
"Independent",82.5,"HS",40
"Republican",82.5,"BAdeg",62
"Democrat",82.5,"MAdeg",28
"Republican",82.5,"CCdeg",59
"Democrat",82.5,"BAdeg",25
"Republican",82.5,"BAdeg",31
"Republican",82.5,"Coll",45
"Republican",82.5,"BAdeg",42
"Democrat",82.5,"MAdeg",56
"Democrat",82.5,"MAdeg",47
"Republican",82.5,"BAdeg",38
"Independent",82.5,"BAdeg",47
"Republican",82.5,"Coll",49
"Independent",82.5,"MAdeg",29
"Democrat",82.5,"BAdeg",57
"Republican",82.5,"HS",68
"Democrat",82.5,"BAdeg",76
"Republican",82.5,"BAdeg",66
"Independent",82.5,"Coll",59
"Independent",82.5,"MAdeg",37
"Republican",82.5,"BAdeg",38
"Republican",82.5,"MAdeg",47
"Republican",82.5,"MAdeg",36
"Democrat",82.5,"MAdeg",45
"Republican",82.5,"MAdeg",39
"Democrat",82.5,"BAdeg",34
"Democrat",82.5,"Coll",49
"Republican",82.5,"BAdeg",36
"Republican",82.5,"CCdeg",81
"Independent",82.5,"Coll",29
"Democrat",82.5,"BAdeg",45
"Republican",82.5,"Coll",21
"Republican",82.5,"BAdeg",33
"Independent",97.5,"HS",44
"Independent",97.5,"MAdeg",52
"Democrat",97.5,"Coll",38
"Independent",97.5,"CCdeg",44
"Republican",97.5,"MAdeg",87
"Republican",97.5,"HS",22
"Independent",97.5,"BAdeg",32
"Independent",97.5,"HS",69
"Republican",97.5,"BAdeg",49
"Republican",97.5,"HS",53
"Republican",97.5,"BAdeg",44
